id,created_date,created_time,type,message,link
141108613290_10156891519988291,16/9/2018,21:16:54,link,ใครพบเห็นเบาะแส แจ้ง @กองปราบปราม ด่วน ปล พบเห็นมันที่ไหน อย่าเข้าไปบวกนะ น่าจะมีอาวุธ และฆ่าเด็กและคนชรามาแล้วสองศพ เรียก จนท มาจับหรือวิสามัญดีสุด,https://www.thaipost.net/main/detail/17680
141108613290_10156902063138291,20/9/2018,18:50:53,link,ตามข่าวคือ วันที่เกิดเหตุ นักธุรกิจคนนี้ เดินทางไปเยี่ยมญาติที่เป็นตำรวจที่นั่น แล้ววันนั้นบังเอิญ บิ๊กโจ๊กเขากำลังให้สัมภาษณ์สื่อ เกี่ยวกับคดีฉ้อโกงเงินสหกรณ์ตำรวจ ว่ากำลังจะเอาผู้ต้องหาที่เกี่ยวข้องกับคดีมาสอบเพิ่ม  ซึ่งไม่ใช่นักธุรกิจคนนี้  แต่บังเอิญนักธุรกิจเดินผ่านตรงที่เข้าสัมภาษณ์พอดี  แล้วมีสื่อถ่ายภาพเขาไปนำเสนอบอกว่า เขาคือผู้ต้องหาที่เอามาสอบเพิ่ม  .......................แบบนี้ก็ได้เหรอวะ  เขาเลยตั้งทนายมาดำเนินคดีกับสื่อที่เอาภาพของเขาไปลงข่าวแล้วระบุว่าเป็นผู้ต้องหาในคดีฉ้อโกงเงินสหกรณ์ตำรวจ,http://news1live.com/detail.aspx?NewsID=9610000094450
141108613290_10156984159118291,22/10/2018,16:22:54,link,ยินดีกับครอบครัวผู้ตายด้วยที่ ตร จับไอ้นี่ได้ละครับ,https://workpointnews.com/2018/10/22/%E0%B8%AB%E0%B8%A5%E0%B8%B1%E0%B8%87%E0%B8%AB%E0%B8%99%E0%B8%B5%E0%B8%81%E0%B8%9A%E0%B8%94%E0%B8%B2%E0%B8%99%E0%B8%89%E0%B8%B0%E0%B9%80%E0%B8%8A%E0%B8%B4%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%A3%E0%B8%B2/
141108613290_10156996094988291,27/10/2018,12:46:12,link,ตอนแรก นึกว่าคนรุ่นนั้น จะชอบนะ ที่เห็นการหยิบกิมมิค เกี่ยวกับประวัติศาสตร์ในตอนนั้นมานำเสนอไม่ให้คนลืมเลือนเหตุการณ์กันง่ายๆ เพราะทุกวันนี้ในตำราเรียนก็พูดถึงเหตุการณ์นั้นน้อยมาก ต้องไปหาหนังสืออ่านกันเอาเองถึงจะรู้ว่าประวัติศาสตร์ยุคนั้นเป็นยังไง  เอาจริงๆ เหตุการณ์เดือนตุลา ทุกวันนี้ ไม่ใช่เรื่องของคนเดือนตุลา แล้วมั้ง คำว่าคนเดือนตุลา มันหมดความขลังไปนานละ แต่มันเป็นเรื่องของคนไทยทุกคน ถ้าเด็กรุ่นใหม่เขาอยากย้ำเตือนประวัติศาสตร์ อยากเอาเรื่องในยุคนั้นมาตีแผ่ ก็ทำไปเถอะ จากนี้ไป พวกมึงเป็นคนกำหนดทิศทางประเทศชาติในยุคหน้าแล้วว่ามันจะไปในทางไหน,https://www.thaipost.net/main/detail/20804
141108613290_10156868897648291,8/9/2018,10:39:33,link,ความดีมันมีมูลค่านะ หลังเป็นข่าวช่วงแรกๆ คอหวยแห่กันไปซื้อหวยกับไอ้นี่กันมืดฟ้ามัวดิน ขนาดว่า หมื่นใบขายหมดเกลี้ยงในสามวัน ลองคูณเข้าไปว่าได้กำไรไปเท่าไหร่ แล้วแบบนี้คนที่หลงเชื่อไปซื้อลอตเตอรี่เพราะเชื่อว่าหมอนี่เป็นคนดี จะทำไรได้มั่งครับ แจ้งความได้มั้ย,http://www.tnews.co.th/contents/477455
141108613290_10156868870133291,8/9/2018,10:25:48,link,วงวารซินแส ซวยสุดในงานนี้ก็แกนี่ล่ะ ถถถถถถถถ,https://www.dailynews.co.th/regional/664554
141108613290_10156776313598291,3/8/2018,11:23:27,link,RIP ครับ สาเหตุการเสียชีวิตเบื้องต้นคือการฆ่าตัวตาย,http://gossipstar.mthai.com/hollywood/inter/70309
141108613290_10156802809668291,13/8/2018,18:34:45,link,กรูดูข่าว สื่อเอาคลิปพี่เสพไปนำเสนอในทีวี แม่งเซ็นเซอร์ไป 50% ฟังจับใจความไมไ่ด้เลยแสสส,https://www.thairath.co.th/content/1353797
141108613290_10157018568008291,5/11/2018,11:46:36,link,จบซ้ากกกกกกกกกกกกกกที ปะ ทำมาหากินต่อนู๋,https://www.dailynews.co.th/entertainment/675328
141108613290_10156769435103291,31/7/2018,15:51:04,link,น้องเขารู้ผลชันสูตรน้องหญิงยังวะ,https://www.sanook.com/news/7383142/
141108613290_10156958818133291,12/10/2018,18:18:51,link,กรูเดาว่าน่าจะแก้ตัวว่าน้ำเก๊กฮวย ไม่ก็ชาอูหลง สรุปแก้ตัวกับ จนท ว่าเป็นน้ำหวานว่ะ เหอๆ,https://www.dailynews.co.th/regional/671088
141108613290_10157105289018291,10/12/2018,14:48:46,link,..........เย,https://www.matichon.co.th/region/news_1266080?fbclid=IwAR1mawFy6Yss4HQg10mlTpMwNMHTUYCYTylZjeX2nhv8k-IEASLzScwZBmk
141108613290_10156875760788291,10/9/2018,22:44:45,link,ความพลาดของมึงคือ เล่นกับใครไม่เล่น มาเล่นกับด้อมนี้,https://mgronline.com/live/detail/9610000090776
141108613290_10157107334433291,11/12/2018,10:51:36,link,มันสนุกตรงไหนวะ โทรไปป่วนสายด่วนนี่ กรูเห็นแม่งทำกันจัง ทั้งสายด่วน ตร สายด่วนเรียกรถฉุกเฉินโดนโทรป่วนหม๊ดดดดด,http://news.ch7.com/detail/315773
141108613290_10156840654628291,28/8/2018,15:53:43,link,อันนี้เป็นผลจากที่เสี่ยแนวินแกออกมาแฉเรื่องภายในวงการวันก่อนปะวะ,https://www.khaosod.co.th/sports/news_1501981
141108613290_10157045082063291,16/11/2018,17:00:12,link,#ประเทศกูมี,https://www.khaosod.co.th/around-thailand/news_1833493
141108613290_10157148391748291,27/12/2018,19:06:13,link,พล.ต.อ. วิระชัย ได้เดินทางไปที่บ้านหลังที่เกิดเหตุเพลิงไหม้เพื่อให้บอล บางแก้ว   จำลองเหตุการณ์ในวันเหตุการณ์ให้กับพนักงานสอบสวนและเจ้าหน้าที่พิสูจน์หลักฐานได้ตรวจสอบลำดับเหตุการณ์ที่เกิดขึ้นโดยใช้เวลานานกว่า1ชม.จึงแล้วเสร็จ พล.ต.อ. วิระชัย เปิดเผยว่า วันนี้ได้ให้บอล บางแก้ว   จำลองเหตุการณ์ว่าก่อนเกิดเหตุขณะเกิดเหตุและหลังเกิดเหตุบอล บางแก้วทำอะไรอยู่ตรงไหน เมื่อเกิดเพลิงไหม้ทำอย่างไร ช่วยเหลืออย่างไรซึ่งได้เห็นภาพขณะเกิดเหตุ ในวันนี้ได้ประโยชน์ต่อรูปคดีมากและได้ซักถามบอล บางแก้วในที่เกิดเหตุในแต่ละจุดซึ่งบอล บางแก้วได้ให้ความร่วมมือเป็นอย่างดีพร้อมกับให้ข้อมูลว่าวันเกิดเหตุได้ติดต่ออะไรกับใครอย่างไรไปไหนมาบ้างซึ่งมีวัตถุพยานและพยานหลักฐานให้เจ้าหน้าที่ตำรวจตรวจสอบ ในส่วนของเหตุที่เกิดในบ้านมีอะไรวางอยู่ตรงไหนบ้างทำให้เจ้าหน้าที่ตำรวจสิ้นสงสัย  จากการตรวจสอบที่เกิดเหตุในวันนี้ทำให้เจ้าหน้าที่พิสูจน์หลักฐานก็มีความมั่นใจว่าต้นเพลิงเกิดขึ้นภายในห้องนอนส่วนสาเหตุการเกิดเพลิงไหม้ต้องรอผลการตรวจพิสูจน์อย่างละเอียดโดยคาดว่าภายในเดือนม.ค.2562จะสามารถปิดคดีนี้ได้อย่างแน่นอน... อ่านต่อที่ : https://dailynews.co.th/crime/684869,https://dailynews.co.th/crime/684869
141108613290_10156805530463291,14/8/2018,21:11:15,link,กุว่าเด็กมันก็ไม่สนใจอยู่ดีนะ ถถถถถถถถถ  2. แก้ไขลักษณะความประพฤติที่ห้ามกระทำเกี่ยวกับการแสดงพฤติกรรมทางชู้สาวอันไม่เหมาะสม จากเดิมที่ห้ามเฉพาะการแสดงพฤติกรรมทางชู้สาวซึ่งไม่เหมาะสมในที่สาธารณะ เป็นการห้ามไม่จำกัดสถานที่ โดยตัดคำว่า “ในที่สาธารณะ” ออก และกำหนดเพิ่มเติมห้ามกระทำการลามกอนาจารด้วย,https://mgronline.com/onlinesection/detail/9610000080910
141108613290_10156812012708291,17/8/2018,10:16:14,link,จะว่าไปกํไม่ได้เปิดทีวีมาซักพักละนะ ละครซีรี่ยกรูก็ดูในเน็ทฟลิกซ์ ข่าวก็ดูในยูทิวปกับดูในเฟซที่แต่ละสื่อเขาไลฟเอา,https://positioningmag.com/1183837
141108613290_10156921681658291,28/9/2018,15:14:15,link,พล.ต.ท.ชาญเทพ กล่าวว่า เบื้องต้นได้รับรายงานว่า จากการตรวจ พบข้อบกพร่องของเจ้าหน้าที่ตำรวจในการปฎิบัติหน้าที่ จำนวน 5-6 นาย เป็นชุดจับกุม พนักงานสอบสวน มีหลายระดับ รวมถึงมีเจ้าหน้าที่กระบวนการยุติธรรมระดับสูงร่วมอยู่ด้วย คาดว่าจะทราบผลสรุปทั้งหมดในช่วงกลางเดือนตุลานี้,https://www.matichon.co.th/local/crime/news_1151953
141108613290_10156759106348291,27/7/2018,19:51:01,link,เอาจริงๆรู้สึกตรงข้ามว่า กทม ที่ไม่มีรถติด แม่งไม่ใช่ กทม ว่ะ ถถถถถถถ เออ สมัยจ่าเรียนประถม เอ่อ ก็ร่วมๆยี่สิบจะสามสิบปีแล้ว ตอนนั้นพ่อก็พากลับบ้าน บ้านอยู่แถวชาวเมือง ขับรถผ่านตรงสาธรเว้ย แล้วก็ติดแหงกตรงนั้นห้าโมงถึงสองทุ่ม ไอ้สั้ส ถึงบ้านห้าทุ่ม เหี้ยไรกันเนี่ย รถติดเหี้ยอะไรกันมากมาย   แล้วแม่งก็เป็นงี้มาตลอด แบบพูดเลยว่าคนในเมืองตอนนั้น ใช้ชีวิตบนรถวันนึงเกินสามสี่ชั่วโมงแน่    พอมี bts mrt arl ค่อยดีขึ้นนิดนึง แต่ก็ยังติดกันฉิบหายอยู่ดี ดังนั้นพอคนไปเที่ยวกันหมด กทม โล่งๆ กรูก็รู้สึกแปลกๆเหมือนไม่ไช่ กทม เหมือนกันนะ ถถถถถ,https://www.facebook.com/440402912665055/posts/1859432254095440/
141108613290_10156974262498291,18/10/2018,17:21:13,link,....ดูข่าวสดแม่งเลือกภาพประกอบ ใครพบเห็นคนร้ายก็ช่วยกันแจ้งเบาะแสไปที่พ่อผู้ตายด้วยนะครับ,https://www.khaosod.co.th/monitor-news/news_1705068
141108613290_10156850831993291,1/9/2018,11:54:52,link,การเชื่อมโยงข้อมูลระหว่างหน่วยงาน ตอนนี้ยังไม่สมบูรณ์เลย แต่มีคนเเอาป้ายทะเบียนชาวบ้าน กรอกลงแอปแป๊บเดียว รู้เลยว่าเขาชื่ออะไรบ้านเลขที่อะไร เมพ เมพ เมพ,https://www.thairath.co.th/content/1366454
141108613290_10156753865058291,25/7/2018,17:50:13,link,อันนี้ก็หนึ่งในผลลัพท์จากการ อัดระบบ รึเปล่าวะ,http://www.amarintv.com/news-update/news-10865/232552/
141108613290_10156749450413291,23/7/2018,22:33:53,link,ใครมีเบาะแสแจ้งกองปราบปรามด้วยนาจา,https://www.thairath.co.th/content/1340322
141108613290_10156986181218291,23/10/2018,12:06:44,link,รอดูบ่ายสองเลยครับ สู้ๆๆๆๆ ปล เท่าที่ฟังนักกฏหมายคุยประเด็นนี้ น้องอามแกมีช่องทางต่อสู้นะ,https://www.sanook.com/news/7551142/?utm_echo=echobox&utm_medium=Social&utm_source=Facebook#Echobox=1540259163
141108613290_10156885817783291,14/9/2018,14:44:49,link,โทษนะพี่นะ ขู่แล้วไม่ทำตามนี่ หมาาาาาาาาาาาาาาาาาาาาาาา นะพี่นะ  หมาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาา เลยนะพี่นะ,https://www.smartsme.co.th/content/98597
141108613290_10157124371498291,18/12/2018,11:02:02,link,บัย,https://www.matichon.co.th/region/news_1277814
